index,pop_size,mut_pb,cx_pb,selection,avg_best_fitness,max_best_fitness,min_best_fitness
0,24,0.15,0.4,tournament,0.925,1.0,0.85
1,24,0.15,0.4,roulette,0.75,0.75,0.75
2,24,0.15,0.6,tournament,0.975,0.975,0.975
3,24,0.15,0.6,roulette,0.875,1.0,0.75
4,24,0.25,0.4,tournament,0.7124999999999999,0.725,0.7
5,24,0.25,0.4,roulette,0.975,0.975,0.975
6,24,0.25,0.6,tournament,0.925,1.0,0.85
7,24,0.25,0.6,roulette,0.8375,0.925,0.75
8,36,0.15,0.4,tournament,0.875,1.0,0.75
9,36,0.15,0.4,roulette,0.875,0.9,0.85
10,36,0.15,0.6,tournament,0.75,0.75,0.75
11,36,0.15,0.6,roulette,0.975,0.975,0.975
12,36,0.25,0.4,tournament,1.0,1.0,1.0
13,36,0.25,0.4,roulette,0.875,1.0,0.75
14,36,0.25,0.6,tournament,0.925,0.95,0.9
15,36,0.25,0.6,roulette,0.975,1.0,0.95
